rows    | tot_costs   | exec_time(ms)  | exec_time_cs| ncond | role        | av_data   
15      | 2300.38     | 40.989         | 4.383       | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 33.27          | 3.62        | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 28.035         | 3.0898      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 40.516         | 4.3353      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 40.062         | 4.2807      | 1     | tfog_acoast_u|   12304975
155     | 2300.29     | 50.47          | 5.3238      | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
2       | 2108.74     | 30.271         | 3.3163      | 2     | tfog_abells_u|   13995064
22      | 2108.74     | 28.469         | 3.131       | 2     | tfog_abells_u|   13995064
0       | 2108.74     | 32.943         | 3.5862      | 2     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2301.98     | 32.784         | 3.5707      | 2     | tfog_acoast_u|   12304975
0       | 2301.98     | 34.984         | 3.7809      | 2     | tfog_acoast_u|   12304975
1       | 2301.98     | 40.479         | 4.3306      | 2     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
3       | 2110.48     | 32.951         | 3.5865      | 3     | tfog_abells_u|   13995064
0       | 2110.48     | 28.178         | 3.1054      | 3     | tfog_abells_u|   13995064
6       | 2110.48     | 39.917         | 4.271       | 3     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2304.06     | 39.983         | 4.2777      | 3     | tfog_acoast_u|   12304975
9       | 2304.06     | 49.728         | 5.259       | 3     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
0       | 2112.28     | 30.864         | 3.3872      | 4     | tfog_abells_u|   13995064
1       | 2112.28     | 29.588         | 3.2455      | 4     | tfog_abells_u|   13995064
0       | 2112.28     | 32.975         | 3.585       | 4     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2306.18     | 32.678         | 3.5518      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 34.778         | 3.7851      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 40.417         | 4.3301      | 4     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
1       | 2114.09     | 33.215         | 3.6112      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 28.099         | 3.1075      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 40.176         | 4.3036      | 5     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2308.33     | 39.929         | 4.2796      | 5     | tfog_acoast_u|   12304975
0       | 2308.33     | 49.884         | 5.2827      | 5     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
11      | 2107.38     | 30.483         | 3.321       | 0     | tfog_abells_u|   13995064
700     | 2107.38     | 29.839         | 3.2739      | 0     | tfog_abells_u|   13995064
2       | 2107.38     | 32.711         | 3.5486      | 0     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.38     | 33.755         | 3.667       | 0     | tfog_acoast_u|   12304975
19      | 2300.38     | 35.627         | 3.84        | 0     | tfog_acoast_u|   12304975
15      | 2300.38     | 40.628         | 4.3427      | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 32.594         | 3.5404      | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 28.095         | 3.0959      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 41.168         | 4.4004      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 40.462         | 4.3281      | 1     | tfog_acoast_u|   12304975
155     | 2300.29     | 51.076         | 5.3933      | 1     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
2       | 2108.74     | 30.419         | 3.3257      | 2     | tfog_abells_u|   13995064
22      | 2108.74     | 29.064         | 3.1994      | 2     | tfog_abells_u|   13995064
0       | 2108.74     | 32.749         | 3.5591      | 2     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2301.98     | 33.134         | 3.6055      | 2     | tfog_acoast_u|   12304975
0       | 2301.98     | 35.379         | 3.833       | 2     | tfog_acoast_u|   12304975
1       | 2301.98     | 40.85          | 4.3827      | 2     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
3       | 2110.48     | 33.153         | 3.6075      | 3     | tfog_abells_u|   13995064
0       | 2110.48     | 28.285         | 3.1179      | 3     | tfog_abells_u|   13995064
6       | 2110.48     | 40.433         | 4.3297      | 3     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2304.06     | 39.799         | 4.2624      | 3     | tfog_acoast_u|   12304975
9       | 2304.06     | 50.569         | 5.3436      | 3     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
0       | 2112.28     | 30.447         | 3.3324      | 4     | tfog_abells_u|   13995064
1       | 2112.28     | 29.317         | 3.2283      | 4     | tfog_abells_u|   13995064
0       | 2112.28     | 32.809         | 3.5732      | 4     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2306.18     | 33.356         | 3.6232      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 35.651         | 3.8618      | 4     | tfog_acoast_u|   12304975
0       | 2306.18     | 40.743         | 4.3689      | 4     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
1       | 2114.09     | 33.331         | 3.6396      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 28.235         | 3.1151      | 5     | tfog_abells_u|   13995064
0       | 2114.09     | 40.938         | 4.3834      | 5     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
0       | 2308.33     | 40.235         | 4.3137      | 5     | tfog_acoast_u|   12304975
0       | 2308.33     | 50.602         | 5.3618      | 5     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
11      | 2107.38     | 30.83          | 3.3581      | 0     | tfog_abells_u|   13995064
700     | 2107.38     | 29.911         | 3.285       | 0     | tfog_abells_u|   13995064
2       | 2107.38     | 33.255         | 3.6208      | 0     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.38     | 33.919         | 3.698       | 0     | tfog_acoast_u|   12304975
19      | 2300.38     | 36.16          | 3.9126      | 0     | tfog_acoast_u|   12304975
15      | 2300.38     | 41.446         | 4.4464      | 0     | tfog_acoast_u|   12304975
? SET ROLE tfog_abells_u;
103     | 2107.3      | 33.524         | 3.6423      | 1     | tfog_abells_u|   13995064
11      | 2107.3      | 28.353         | 3.1233      | 1     | tfog_abells_u|   13995064
24      | 2107.3      | 41.086         | 4.4067      | 1     | tfog_abells_u|   13995064
? SET ROLE postgres;
? SET ROLE tfog_acoast_u;
5       | 2300.29     | 40.405         | 4.3412      | 1     | tfog_acoast_u|   12304975
