rows    | tot_costs   | exec_time(ms)  | exec_time_cs| plan_time   | ncond   | size  | stmt
----------------------------------------------------------------------------
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 79.125         | 8.1326      | 0.044       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 75.352         | 7.7331      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 6.922          | 0.7508      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 13.553         | 1.4272      | 0.037       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 6.951          | 0.7544      | 0.039       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 13.301         | 1.3982      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.822          | 0.7469      | 0.039       | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 8.1            | 0.869       | 0.038       | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 8.169          | 0.876       | 0.04        | 0     | 293376|  WHERE bstream is not Null;
1       | 0.26        | 6.546          | 0.7137      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.993          | 0.7582      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
1       | 0.26        | 6.752          | 0.7385      | 0.038       | 0     | 35328 |  WHERE bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cbudget_sdraft_u;
? SET ROLE postgres;
? SET ROLE tfog_acoast_cstatistics_stask_u;
1       | 0.26        | 13.304         | 1.3942      | 0.066       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
1       | 0.26        | 6.493          | 0.7087      | 0.038       | 1     | 96325 |  WHERE udim1 LIKE 'public' AND bstream is not Null;
? SET ROLE postgres;
? SET ROLE tfog_abells_cbudget_sdraft_u;
1       | 0.26        | 13.444         | 1.4043      | 0.04        | 0     | 96325 |  WHERE bstream is not Null;
1       | 0.26        | 6.493          | 0.7095      | 0.038       | 0     | 96325 |  WHERE bstream is not Null;
